| title                       | rental_count | rental_rate | length |
| BUCKET BROTHERHOOD          |           34 |        4.99 |    133 |
| ROCKETEER MOTHER            |           33 |        0.99 |    178 |
| FORWARD TEMPLE              |           32 |        2.99 |     90 |
| GRIT CLOCKWORK              |           32 |        0.99 |    137 |
| JUGGLER HARDLY              |           32 |        0.99 |     54 |
| RIDGEMONT SUBMARINE         |           32 |        0.99 |     46 |
| SCALAWAG DUCK               |           32 |        4.99 |    183 |
| APACHE DIVINE               |           31 |        4.99 |     92 |
| GOODFELLAS SALUTE           |           31 |        4.99 |     56 |
| HOBBIT ALIEN                |           31 |        0.99 |    157 |
| NETWORK PEAK                |           31 |        2.99 |     75 |
| ROBBERS JOON                |           31 |        2.99 |    102 |
| RUSH GOODFELLAS             |           31 |        0.99 |     48 |
| TIMBERLAND SKY              |           31 |        0.99 |     69 |
| WIFE TURN                   |           31 |        4.99 |    183 |
| ZORRO ARK                   |           31 |        4.99 |     50 |
| BUTTERFLY CHOCOLAT          |           30 |        0.99 |     89 |
| CAT CONEHEADS               |           30 |        4.99 |    112 |
| DOGMA FAMILY                |           30 |        4.99 |    122 |
| ENGLISH BULWORTH            |           30 |        0.99 |     51 |
| FROST HEAD                  |           30 |        0.99 |     82 |
| GRAFFITI LOVE               |           30 |        0.99 |    117 |
| HARRY IDAHO                 |           30 |        4.99 |    121 |
| IDOLS SNATCHERS             |           30 |        2.99 |     84 |
| MARRIED GO                  |           30 |        2.99 |    114 |
| MASSACRE USUAL              |           30 |        4.99 |    165 |
| MUSCLE BRIGHT               |           30 |        2.99 |    185 |
| PULP BEVERLY                |           30 |        2.99 |     89 |
| RUGRATS SHAKESPEARE         |           30 |        0.99 |    109 |
| SHOCK CABIN                 |           30 |        2.99 |     79 |
| SUSPECTS QUILLS             |           30 |        2.99 |     47 |
| WITCHES PANIC               |           30 |        4.99 |    100 |
| BINGO TALENTED              |           29 |        2.99 |    150 |
| BOOGIE AMELIE               |           29 |        4.99 |    121 |
| CONFIDENTIAL INTERVIEW      |           29 |        4.99 |    180 |
| DEER VIRGINIAN              |           29 |        2.99 |    106 |
| ENEMY ODDS                  |           29 |        4.99 |     77 |
| FAMILY SWEET                |           29 |        0.99 |    155 |
| GLEAMING JAWBREAKER         |           29 |        2.99 |     89 |
| GREATEST NORTH              |           29 |        2.99 |     93 |
| MOON BUNCH                  |           29 |        0.99 |     83 |
| STORM HAPPINESS             |           29 |        0.99 |     57 |
| SWEETHEARTS SUSPECTS        |           29 |        0.99 |    108 |
| TALENTED HOMICIDE           |           29 |        0.99 |    173 |
| TITANS JERK                 |           29 |        4.99 |     91 |
| VIDEOTAPE ARSENIC           |           29 |        4.99 |    145 |
| VIRGINIAN PLUTO             |           29 |        0.99 |    164 |
| CLOSER BANG                 |           28 |        4.99 |     58 |
| EXPENDABLE STALLION         |           28 |        0.99 |     97 |
| FATAL HAUNTED               |           28 |        2.99 |     91 |
| GIANT TROOPERS              |           28 |        2.99 |    102 |
| GILMORE BOILED              |           28 |        0.99 |    163 |
| HANDICAP BOONDOCK           |           28 |        0.99 |    108 |
| ROSES TREASURE              |           28 |        4.99 |    162 |
| SATURDAY LAMBS              |           28 |        4.99 |    150 |
| STORY SIDE                  |           28 |        0.99 |    163 |
| TRIP NEWTON                 |           28 |        4.99 |     64 |
| VOYAGE LEGALLY              |           28 |        0.99 |     78 |
| BLACKOUT PRIVATE            |           27 |        2.99 |     85 |
| CAMELOT VACATION            |           27 |        0.99 |     61 |
| CHANCE RESURRECTION         |           27 |        2.99 |     70 |
| CURTAIN VIDEOTAPE           |           27 |        0.99 |    133 |
| DANCING FEVER               |           27 |        0.99 |    144 |
| DETECTIVE VISION            |           27 |        0.99 |    143 |
| DORADO NOTTING              |           27 |        4.99 |    139 |
| FORRESTER COMANCHEROS       |           27 |        4.99 |    112 |
| GANGS PRIDE                 |           27 |        2.99 |    185 |
| GOLDMINE TYCOON             |           27 |        0.99 |    153 |
| HORROR REIGN                |           27 |        0.99 |    139 |
| INVASION CYCLONE            |           27 |        2.99 |     97 |
| LIES TREATMENT              |           27 |        4.99 |    147 |
| LOATHING LEGALLY            |           27 |        0.99 |    140 |
| LOSE INCH                   |           27 |        0.99 |    137 |
| MOVIE SHAKESPEARE           |           27 |        4.99 |     53 |
| NONE SPIKING                |           27 |        0.99 |     83 |
| OPERATION OPERATION         |           27 |        2.99 |    156 |
| PRIMARY GLASS               |           27 |        0.99 |     53 |
| PRINCESS GIANT              |           27 |        2.99 |     71 |
| RANGE MOONWALKER            |           27 |        4.99 |    147 |
| SPY MILE                    |           27 |        2.99 |    112 |
| SWARM GOLD                  |           27 |        0.99 |    123 |
| TELEGRAPH VOYAGE            |           27 |        4.99 |    148 |
| TORQUE BOUND                |           27 |        4.99 |    179 |
| WARDROBE PHANTOM            |           27 |        2.99 |    178 |
| ALASKA PHANTOM              |           26 |        0.99 |    136 |
| BROTHERHOOD BLANKET         |           26 |        0.99 |     73 |
| COMA HEAD                   |           26 |        4.99 |    109 |
| CONTACT ANONYMOUS           |           26 |        2.99 |    166 |
| DISTURBING SCARFACE         |           26 |        2.99 |     94 |
| DURHAM PANKY                |           26 |        4.99 |    154 |
| FANTASY TROOPERS            |           26 |        0.99 |     58 |
| FELLOWSHIP AUTUMN           |           26 |        4.99 |     77 |
| HALF OUTFIELD               |           26 |        2.99 |    146 |
| HANKY OCTOBER               |           26 |        2.99 |    107 |
| HYDE DOCTOR                 |           26 |        2.99 |    100 |
| INNOCENT USUAL              |           26 |        4.99 |    178 |
| ISLAND EXORCIST             |           26 |        2.99 |     84 |
| MALKOVICH PET               |           26 |        2.99 |    159 |
| METROPOLIS COMA             |           26 |        2.99 |     64 |
| PELICAN COMFORTS            |           26 |        4.99 |     48 |
| PITY BOUND                  |           26 |        4.99 |     60 |
| POCUS PULP                  |           26 |        0.99 |    138 |
| SEABISCUIT PUNK             |           26 |        2.99 |    112 |
| STAGECOACH ARMAGEDDON       |           26 |        4.99 |    112 |
| TIGHTS DAWN                 |           26 |        0.99 |    172 |
| TRACY CIDER                 |           26 |        0.99 |    142 |
| VELVET TERMINATOR           |           26 |        4.99 |    173 |
| WESTWARD SEABISCUIT         |           26 |        0.99 |     52 |
| BARBARELLA STREETCAR        |           25 |        2.99 |     65 |
| CLASH FREDDY                |           25 |        2.99 |     81 |
| CLUELESS BUCKET             |           25 |        2.99 |     95 |
| CONEHEADS SMOOCHY           |           25 |        4.99 |    112 |
| DOUBLE WRATH                |           25 |        0.99 |    177 |
| DOWNHILL ENOUGH             |           25 |        0.99 |     47 |
| DYNAMITE TARZAN             |           25 |        0.99 |    141 |
| EFFECT GLADIATOR            |           25 |        0.99 |    107 |
| ESCAPE METROPOLIS           |           25 |        2.99 |    167 |
| FEUD FROGMEN                |           25 |        0.99 |     98 |
| FISH OPUS                   |           25 |        2.99 |    125 |
| GUN BONNIE                  |           25 |        0.99 |    100 |
| HILLS NEIGHBORS             |           25 |        0.99 |     93 |
| MADNESS ATTACKS             |           25 |        0.99 |    178 |
| MALLRATS UNITED             |           25 |        0.99 |    133 |
| METAL ARMAGEDDON            |           25 |        2.99 |    161 |
| NIGHTMARE CHILL             |           25 |        4.99 |    149 |
| OSCAR GOLD                  |           25 |        2.99 |    115 |
| SAMURAI LION                |           25 |        2.99 |    110 |
| SHEPHERD MIDSUMMER          |           25 |        0.99 |    113 |
| SHOW LORD                   |           25 |        4.99 |    167 |
| STREETCAR INTENTIONS        |           25 |        4.99 |     73 |
| SUN CONFESSIONS             |           25 |        0.99 |    141 |
| TELEMARK HEARTBREAKERS      |           25 |        2.99 |    152 |
| TOMORROW HUSTLER            |           25 |        2.99 |    142 |
| TRADING PINOCCHIO           |           25 |        4.99 |    170 |
| WORKING MICROCOSMOS         |           25 |        4.99 |     74 |
| ALAMO VIDEOTAPE             |           24 |        0.99 |    126 |
| ARACHNOPHOBIA ROLLERCOASTER |           24 |        2.99 |    147 |
| ATLANTIS CAUSE              |           24 |        2.99 |    170 |
| ATTRACTION NEWTON           |           24 |        4.99 |     83 |
| BOUND CHEAPER               |           24 |        0.99 |     98 |
| CAPER MOTIONS               |           24 |        0.99 |    176 |
| CELEBRITY HORN              |           24 |        0.99 |    110 |
| CENTER DINOSAUR             |           24 |        4.99 |    152 |
| COLOR PHILADELPHIA          |           24 |        2.99 |    149 |
| DRIFTER COMMANDMENTS        |           24 |        4.99 |     61 |
| FARGO GANDHI                |           24 |        2.99 |    130 |
| GOLDFINGER SENSIBILITY      |           24 |        0.99 |     93 |
| GUNFIGHT MOON               |           24 |        0.99 |     70 |
| HORN WORKING                |           24 |        2.99 |     95 |
| HURRICANE AFFAIR            |           24 |        2.99 |     49 |
| ICE CROSSING                |           24 |        2.99 |    131 |
| JASON TRAP                  |           24 |        2.99 |    130 |
| JUMPING WRATH               |           24 |        0.99 |     74 |
| KNOCK WARLOCK               |           24 |        2.99 |     71 |
| LOLA AGENT                  |           24 |        4.99 |     85 |
| MAIDEN HOME                 |           24 |        4.99 |    138 |
| MOCKINGBIRD HOLLYWOOD       |           24 |        0.99 |     60 |
| ORANGE GRAPES               |           24 |        0.99 |     76 |
| OZ LIAISONS                 |           24 |        2.99 |     85 |
| PACIFIC AMISTAD             |           24 |        0.99 |    144 |
| ROMAN PUNK                  |           24 |        0.99 |     81 |
| SEATTLE EXPECATIONS         |           24 |        4.99 |    110 |
| SHOOTIST SUPERFLY           |           24 |        0.99 |     67 |
| SLEEPING SUSPECTS           |           24 |        4.99 |    129 |
| SLUMS DUCK                  |           24 |        0.99 |    147 |
| STRANGELOVE DESIRE          |           24 |        0.99 |    103 |
| SUNRISE LEAGUE              |           24 |        4.99 |    135 |
| WEDDING APOLLO              |           24 |        0.99 |     70 |
| ACADEMY DINOSAUR            |           23 |        0.99 |     86 |
| AFFAIR PREJUDICE            |           23 |        2.99 |    117 |
| ALADDIN CALENDAR            |           23 |        4.99 |     63 |
| BALLOON HOMEWARD            |           23 |        2.99 |     75 |
| CANDLES GRAPES              |           23 |        4.99 |    135 |
| CARRIE BUNCH                |           23 |        0.99 |    114 |
| CROOKED FROGMEN             |           23 |        0.99 |    143 |
| CUPBOARD SINNERS            |           23 |        2.99 |     56 |
| EARTH VISION                |           23 |        0.99 |     85 |
| EASY GLADIATOR              |           23 |        4.99 |    148 |
| FLAMINGOS CONNECTICUT       |           23 |        4.99 |     80 |
| FOOL MOCKINGBIRD            |           23 |        4.99 |    158 |
| FREDDY STORM                |           23 |        4.99 |     65 |
| GENTLEMEN STAGE             |           23 |        2.99 |    125 |
| HEAVYWEIGHTS BEAST          |           23 |        4.99 |    102 |
| HOUSE DYNAMITE              |           23 |        2.99 |    109 |
| KARATE MOON                 |           23 |        0.99 |    120 |
| KWAI HOMEWARD               |           23 |        0.99 |     46 |
| MURDER ANTITRUST            |           23 |        2.99 |    166 |
| NAME DETECTIVE              |           23 |        4.99 |    178 |
| OTHERS SOUP                 |           23 |        2.99 |    118 |
| OUTBREAK DIVINE             |           23 |        0.99 |    169 |
| PATTON INTERVIEW            |           23 |        2.99 |    175 |
| PHILADELPHIA WIFE           |           23 |        4.99 |    137 |
| SALUTE APOLLO               |           23 |        2.99 |     73 |
| SCORPION APOLLO             |           23 |        4.99 |    137 |
| SNOWMAN ROLLERCOASTER       |           23 |        0.99 |     62 |
| STEEL SANTA                 |           23 |        4.99 |    143 |
| STRICTLY SCARFACE           |           23 |        2.99 |    144 |
| TITANIC BOONDOCK            |           23 |        4.99 |    104 |
| TROUBLE DATE                |           23 |        2.99 |     61 |
| TRUMAN CRAZY                |           23 |        4.99 |     92 |
| WASH HEAVENLY               |           23 |        4.99 |    161 |
| WIND PHANTOM                |           23 |        0.99 |    111 |
| WOMEN DORADO                |           23 |        0.99 |    126 |
| YENTL IDAHO                 |           23 |        4.99 |     86 |
| ALIEN CENTER                |           22 |        2.99 |     46 |
| ALTER VICTORY               |           22 |        0.99 |     57 |
| AMERICAN CIRCUS             |           22 |        4.99 |    129 |
